Accuracy,,,,,,,,,,
Model,ASSIST2009,Algebra2005,Bridge2006,NIPS34,XES3G5M,EdNet-small,EdNet-large,Statics2011,ASSIST2015,POJ
DKT,0.7244±0.0014,0.8097±0.0005,0.8553±0.0002,0.7032±0.0004,0.8173±0.0002,0.6462±0.0028,0.6603±0.0033,0.7969±0.0006,0.7503±0.0003,0.6328±0.0020
DKT+,0.7248±0.0009,0.8097±0.0007,0.8553±0.0003,0.7039±0.0004,0.8178±0.0001,0.6571±0.0019,0.6664±0.0011,0.7977±0.0006,0.7510±0.0004,0.6482±0.0021
DKT-F,-,0.8090±0.0005,0.8536±0.0004,0.7076±0.0002,0.8209±0.0003,0.6402±0.0021,0.6666±0.0031,0.7872±0.0011,-,0.6371±0.0030
KQN,0.7228±0.0009,0.8025±0.0006,0.8532±0.0006,0.7028±0.0001,0.8152±0.0002,0.6422±0.0043,0.6656±0.0007,0.7978±0.0007,0.7500±0.0003,0.6435±0.0017
DKVMN,0.7199±0.0010,0.8027±0.0007,0.8545±0.0002,0.7016±0.0005,0.8155±0.0001,0.6444±0.0030,0.6581±0.0036,0.7929±0.0006,0.7508±0.0006,0.6393±0.0015
ATKT,0.7208±0.0009,0.7998±0.0019,0.8511±0.0004,0.7013±0.0002,0.8145±0.0002,0.6369±0.0009,0.6642±0.0021,0.7904±0.0011,0.7494±0.0002,0.6332±0.0023
GKT,0.7153±0.0032,0.8088±0.0008,0.8555±0.0002,0.7014±0.0028,0.8135±0.0004,0.6625±0.0064,0.6649±0.0021,0.7902±0.0021,0.7504±0.0010,0.6117±0.0147
SAKT,0.7063±0.0018,0.7954±0.0020,0.8461±0.0005,0.6879±0.0004,0.8124±0.0002,0.6391±0.0041,0.6474±0.0044,0.7879±0.0015,0.7474±0.0002,0.6407±0.0035
SAINT,0.6936±0.0034,0.7791±0.0016,0.8411±0.0065,0.7180±0.0006,0.8177±0.0006,0.6522±0.0024,0.6607±0.0028,0.7682±0.0056,0.7438±0.0010,0.6476±0.0003
AKT,0.7392±0.0021,0.8124±0.0011,0.8587±0.0005,0.7323±0.0005,0.8273±0.0007,0.6655±0.0042,0.6738±0.0075,0.8021±0.0011,0.7521±0.0005,0.6492±0.0010
SKVMN,0.7156±0.0012,0.7837±0.0023,0.8406±0.0005,0.6885±0.0005,0.8075±0.0003,0.6555±0.0152,0.6798±0.0072,0.7924±0.0011,0.7459±0.0005,0.6412±0.0021
HAWKES,0.7046±0.0008,0.8115±0.0009,0.8559±0.0005,0.7110±0.0007,0.8188±0.0003,0.6917±0.0013,0.7075±0.0006,-,-,-
DeepIRT,0.7195±0.0004,0.8037±0.0009,0.8543±0.0003,0.7014±0.0008,0.8150±0.0002,0.6457±0.0033,0.6571±0.0031,0.7908±0.0024,0.7509±0.0003,0.6373±0.0006
LPKT,0.7355±0.0013,0.8154±0.0008,0.8547±0.0005,0.7309±0.0006,0.8264±0.0001,0.7146±0.0014,0.7243±0.0004,-,-,-
DIMKT,0.7354±0.0019,0.8109±0.0005,0.8579±0.0001,0.7312±0.0005,0.8291±0.0006,0.6699±0.0038,0.6812±0.0029,-,-,-
IEKT,0.7375±0.0042,0.8236±0.0010,0.8553±0.0023,0.7330±0.0002,0.8316±0.0002,0.7123±0.0007,0.7239±0.0002,-,-,-
qDKT,0.6787±0.0039,0.7262±0.0012,0.8301±0.0007,0.7299±0.0007,0.8301±0.0000,0.6922±0.0004,0.7142±0.0004,-,-,-
AT-DKT,0.7250±0.0007,0.8144±0.0008,0.8560±0.0005,0.7146±0.0002,0.8198±0.0004,0.6512±0.0039,0.6718±0.0034,-,-,-
simpleKT,0.7320±0.0012,0.8083±0.0005,0.8579±0.0003,0.7328±0.0001,0.8246±0.0005,0.6557±0.0029,0.6651±0.0032,0.7957±0.0020,0.7508±0.0004,0.6522±0.0008
QIKT,0.7381±0.0014,0.8222±0.0006,0.8539±0.0005,0.7333±0.0005,0.8300±0.0005,0.7082±0.0016,0.7207±0.0004,-,-,-
sparseKT-soft,0.7282±0.0016,0.8017±0.0020,0.8569±0.0006,0.7322±0.0012,0.8234±0.0009,0.6556±0.0048,0.6626±0.0018,0.7953±0.0013,0.7547±0.0011,0.6549±0.0019
sparseKT-topK,0.7274±0.0022,0.7997±0.0016,0.8571±0.0007,0.7325±0.0013,0.8255±0.0003,0.6576±0.0028,0.6631±0.0015,0.7969±0.0010,0.7597±0.0009,0.6565±0.0024
AUC,,,,,,,,,,
Model,ASSIST2009,Algebra2005,Bridge2006,NIPS34,XES3G5M,EdNet-small,EdNet-large,Statics2011,ASSIST2015,POJ
DKT,0.7541±0.0011,0.8149±0.0011,0.8015±0.0008,0.7689±0.0002,0.7852±0.0006,0.6133±0.0006,0.6420±0.0028,0.8222±0.0013,0.7271±0.0005,0.6089±0.0009
DKT+,0.7547±0.0017,0.8156±0.0011,0.8020±0.0004,0.7696±0.0002,0.7861±0.0002,0.6189±0.0012,0.6429±0.0019,0.8279±0.0004,0.7285±0.0006,0.6173±0.0007
DKT-F,-,0.8147±0.0013,0.7985±0.0013,0.7733±0.0003,0.7940±0.0006,0.6168±0.0019,0.6548±0.0035,0.7839±0.0061,-,0.6030±0.0023
KQN,0.7477±0.0011,0.8027±0.0015,0.7936±0.0014,0.7684±0.0003,0.7793±0.0006,0.6111±0.0022,0.6415±0.0014,0.8232±0.0007,0.7254±0.0004,0.6080±0.0015
DKVMN,0.7473±0.0006,0.8054±0.0011,0.7983±0.0009,0.7673±0.0004,0.7792±0.0004,0.6158±0.0022,0.6406±0.0044,0.8093±0.0017,0.7227±0.0004,0.6056±0.0022
ATKT,0.7470±0.0008,0.7995±0.0023,0.7889±0.0008,0.7665±0.0001,0.7783±0.0004,0.6065±0.0003,0.6495±0.0013,0.8055±0.0020,0.7245±0.0007,0.6075±0.0012
GKT,0.7424±0.0021,0.8110±0.0009,0.8046±0.0008,0.7689±0.0024,0.7727±0.0006,0.6223±0.0017,0.6372±0.0029,0.8040±0.0065,0.7258±0.0012,0.6070±0.0036
SAKT,0.7246±0.0017,0.7880±0.0063,0.7740±0.0008,0.7517±0.0005,0.7693±0.0008,0.6072±0.0018,0.6262±0.0017,0.7965±0.0014,0.7114±0.0003,0.6095±0.0013
SAINT,0.6958±0.0023,0.7775±0.0017,0.7781±0.0013,0.7873±0.0007,0.8074±0.0007,0.6614±0.0019,0.6818±0.0041,0.7599±0.0139,0.7026±0.0011,0.5563±0.0012
AKT,0.7853±0.0017,0.8306±0.0019,0.8208±0.0007,0.8033±0.0003,0.8207±0.0008,0.6721±0.0022,0.6911±0.0075,0.8309±0.0009,0.7281±0.0004,0.6281±0.0013
SKVMN,0.7332±0.0009,0.7463±0.0022,0.7287±0.0052,0.7513±0.0005,0.7514±0.0005,0.6182±0.0114,0.6412±0.0092,0.8086±0.0024,0.7080±0.0004,0.6000±0.0024
HAWKES,0.7224±0.0006,0.8210±0.0012,0.8068±0.0010,0.7767±0.0010,0.7921±0.0007,0.6837±0.0016,0.7307±0.0009,-,-,-
DeepIRT,0.7465±0.0006,0.8040±0.0013,0.7976±0.0006,0.7672±0.0006,0.7785±0.0005,0.6173±0.0008,0.6401±0.0026,0.8051±0.0041,0.7219±0.0003,0.6042±0.0020
LPKT,0.7812±0.0023,0.8268±0.0004,0.8056±0.0008,0.8004±0.0003,0.8163±0.0002,0.7392±0.0011,0.7644±0.0006,-,-,-
DIMKT,0.7717±0.0011,0.8277±0.0009,0.8167±0.0008,0.8030±0.0002,0.8220±0.0002,0.6748±0.0030,0.7070±0.0042,-,-,-
IEKT,0.7861±0.0027,0.8416±0.0014,0.8125±0.0009,0.8045±0.0002,0.8280±0.0002,0.7335±0.0014,0.7649±0.0004,-,-,-
qDKT,0.7016±0.0049,0.7485±0.0017,0.7524±0.0005,0.7995±0.0008,0.8225±0.0002,0.6987±0.0010,0.7497±0.0004,-,-,-
AT-DKT,0.7555±0.0005,0.8246±0.0019,0.8104±0.0009,0.7816±0.0002,0.7932±0.0004,0.6249±0.0020,0.6585±0.0040,-,-,-
simpleKT,0.7744±0.0018,0.8254±0.0003,0.8160±0.0006,0.8035±0.0000,0.8163±0.0006,0.6599±0.0027,0.6807±0.0054,0.8199±0.0011,0.7248±0.0005,0.6252±0.0005
QIKT,0.7878±0.0024,0.8408±0.0007,0.8101±0.0003,0.8044±0.0005,0.8222±0.0006,0.7271±0.0012,0.7594±0.0001,-,-,-
sparseKT-soft,0.7739±0.0005,0.8152±0.0030,0.8120±0.0008,0.8033±0.0008,0.8165±0.0015,0.6628±0.0036,0.6819±0.0035,0.8166±0.0013,0.7379±0.0019,0.6323±0.0034
sparseKT-topK,0.7681±0.0024,0.8100±0.0038,0.8117±0.0009,0.8043±0.0004,0.8198±0.0004,0.6626±0.0033,0.6819±0.0017,0.8197±0.0011,0.7502±0.0004,0.6401±0.0013
